"Step","rmappo_originalstate_seed3 - eval_win_rate","rmappo_originalstate_seed3 - eval_win_rate__MIN","rmappo_originalstate_seed3 - eval_win_rate__MAX","rmappo_originalstate_seed2 - eval_win_rate","rmappo_originalstate_seed2 - eval_win_rate__MIN","rmappo_originalstate_seed2 - eval_win_rate__MAX","rmappo_originalstate_seed1 - eval_win_rate","rmappo_originalstate_seed1 - eval_win_rate__MIN","rmappo_originalstate_seed1 - eval_win_rate__MAX"
"3200","0","0","0","0","0","0","0","0","0"
"83200","0.78125","0.78125","0.78125","0.75","0.75","0.75","0.6875","0.6875","0.6875"
"163200","1","1","1","1","1","1","1","1","1"
"243200","1","1","1","1","1","1","1","1","1"
"323200","1","1","1","1","1","1","1","1","1"
"403200","1","1","1","1","1","1","1","1","1"
"483200","1","1","1","1","1","1","1","1","1"
"563200","1","1","1","1","1","1","1","1","1"
"643200","1","1","1","1","1","1","1","1","1"
"723200","1","1","1","1","1","1","1","1","1"
"803200","1","1","1","1","1","1","1","1","1"
"883200","1","1","1","1","1","1","1","1","1"
"963200","1","1","1","1","1","1","1","1","1"
"1043200","1","1","1","1","1","1","1","1","1"
"1123200","1","1","1","1","1","1","1","1","1"
"1203200","1","1","1","1","1","1","1","1","1"
"1283200","1","1","1","1","1","1","1","1","1"
"1363200","1","1","1","1","1","1","1","1","1"
"1443200","1","1","1","1","1","1","1","1","1"
"1523200","1","1","1","1","1","1","1","1","1"
"1603200","1","1","1","1","1","1","1","1","1"
"1683200","1","1","1","1","1","1","1","1","1"
"1763200","1","1","1","1","1","1","1","1","1"
"1843200","1","1","1","1","1","1","1","1","1"
"1923200","1","1","1","1","1","1","1","1","1"
"2003200","1","1","1","1","1","1","1","1","1"
"2083200","1","1","1","1","1","1","1","1","1"
"2163200","1","1","1","1","1","1","1","1","1"
"2243200","1","1","1","1","1","1","1","1","1"
"2323200","1","1","1","1","1","1","1","1","1"
"2403200","1","1","1","1","1","1","1","1","1"
"2483200","1","1","1","1","1","1","1","1","1"
"2563200","1","1","1","1","1","1","1","1","1"
"2643200","1","1","1","1","1","1","1","1","1"
"2723200","1","1","1","1","1","1","1","1","1"
"2803200","1","1","1","1","1","1","1","1","1"
"2883200","1","1","1","1","1","1","1","1","1"
"2963200","1","1","1","1","1","1","1","1","1"
"3043200","1","1","1","1","1","1","1","1","1"
"3123200","1","1","1","1","1","1","1","1","1"
"3203200","1","1","1","1","1","1","1","1","1"
"3283200","1","1","1","1","1","1","1","1","1"
"3363200","1","1","1","0.96875","0.96875","0.96875","1","1","1"
"3443200","1","1","1","1","1","1","1","1","1"
"3523200","1","1","1","1","1","1","1","1","1"
"3603200","1","1","1","1","1","1","1","1","1"
"3683200","1","1","1","1","1","1","1","1","1"
"3763200","1","1","1","1","1","1","1","1","1"
"3843200","1","1","1","1","1","1","1","1","1"
"3923200","1","1","1","1","1","1","1","1","1"
"4003200","1","1","1","1","1","1","1","1","1"
"4083200","1","1","1","1","1","1","1","1","1"
"4163200","1","1","1","1","1","1","1","1","1"
"4243200","1","1","1","1","1","1","1","1","1"
"4323200","1","1","1","1","1","1","1","1","1"
"4403200","1","1","1","1","1","1","1","1","1"
"4483200","1","1","1","1","1","1","1","1","1"
"4563200","1","1","1","1","1","1","1","1","1"
"4643200","1","1","1","1","1","1","1","1","1"
"4723200","1","1","1","1","1","1","1","1","1"
"4803200","1","1","1","1","1","1","1","1","1"
"4883200","1","1","1","1","1","1","1","1","1"
"4963200","1","1","1","1","1","1","1","1","1"